"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1O8mA7lbLISvEGUiNFwQnV","Reincarnation Apple","spotify:artist:3b7jPCedJ2VH4l4rcOTvNC","PinocchioP","spotify:album:5gqdC7ZnKbTJqypdYHr1Kt","Reincarnation Apple","spotify:artist:3b7jPCedJ2VH4l4rcOTvNC","PinocchioP","2022-06-03","https://i.scdn.co/image/ab67616d0000b27329e384a1da70062db74ee3db","1","1","219082","https://p.scdn.co/mp3-preview/7ce0cf81898370efe771f81ce819e63caf0f481a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","TCJPS2203893","","2024-06-12T09:10:53Z"
"spotify:track:4JHg4nNYUJQ5HULcCmI18R","What You Know","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:6n8oS6u5qw6xWGT754V1M6","Tourist History","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-03-01","https://i.scdn.co/image/ab67616d0000b273fc6eef9b111d87e57b4b10cc","1","8","189693","https://p.scdn.co/mp3-preview/c5dd84defe3d5e1383e347a9f04f55696365b7b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","FRU700900116","","2024-06-08T20:14:39Z"
"spotify:track:72hSmnleYTiiOo23q8ZJIS","Black Sheep","spotify:artist:1rCIEwPp5OnXW0ornlSsRl","Metric","spotify:album:69BagWbfHgbO9uxjfVYcux","Black Sheep","spotify:artist:1rCIEwPp5OnXW0ornlSsRl","Metric","2010-08-10","https://i.scdn.co/image/ab67616d0000b273add7088b90038ceadcd09b78","1","1","297459","https://p.scdn.co/mp3-preview/bcba6490d932adfe3b7fd600b76dbe65100741ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","CARB70905801","","2024-06-08T20:10:19Z"
"spotify:track:5tB3jH72pfXtVlwDxpiIlq","嘘じゃない","spotify:artist:38WbKH6oKAZskBhqDFA8Uj","ZUTOMAYO","spotify:album:0mr3594rcsk9iPlB3Py72x","嘘じゃない","spotify:artist:38WbKH6oKAZskBhqDFA8Uj","ZUTOMAYO","2024-05-23","https://i.scdn.co/image/ab67616d0000b273461c4f70cbcc9a966cfdbdcb","1","1","258633","https://p.scdn.co/mp3-preview/3c732069d3baa5c4bd5dd287d3e00fa41fef7778?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","JPPO02401208","","2024-06-08T18:13:19Z"
"spotify:track:4lcupZPn3QWQWQ20C9ZL0M","Blues in the Closet","spotify:artist:38WbKH6oKAZskBhqDFA8Uj","ZUTOMAYO","spotify:album:5C3ycPoEWRtvdBClDrH6uK","Blues in the Closet","spotify:artist:38WbKH6oKAZskBhqDFA8Uj","ZUTOMAYO","2024-06-06","https://i.scdn.co/image/ab67616d0000b273abad4e8b17cab8f0e62351d8","1","1","217800","https://p.scdn.co/mp3-preview/a42c3bb62be0eac88626e0042d0cc82b20b0106e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","JPPO02401209","","2024-06-08T09:32:38Z"
"spotify:track:7f7v2N5STXFIm2X7W0K5Cd","Midnight Mayoi","spotify:artist:1PhE6rv0146ZTQosoPDjk8, spotify:artist:6AjW1aE0OlIoRGdnwbHgP2","Mori Calliope, Kobo Kanaeru","spotify:album:69B75ZlQfe1meYEuTXwtDN","Midnight Mayoi","spotify:artist:1PhE6rv0146ZTQosoPDjk8","Mori Calliope","2024-06-07","https://i.scdn.co/image/ab67616d0000b27317c914b7101cec605a6e8186","1","1","171013","https://p.scdn.co/mp3-preview/e80f3fb54cdfcbae38fa7ecf524ec9c3a32d5f4d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","JPPO02402821","","2024-06-07T09:30:11Z"
"spotify:track:2ZhqxECWfMxBF4YoLFTZ0U","Fuvk The Fairytale","spotify:artist:1gpUtHqrKRAEy8w7ojs8l5","Kiri T","spotify:album:6zyVqxhbcRIa7nCyUobInO","CHILI T","spotify:artist:1gpUtHqrKRAEy8w7ojs8l5","Kiri T","2021-02-26","https://i.scdn.co/image/ab67616d0000b273ef967096fde0c06b4126eb24","1","5","235848","","false","0","HKF822000002","","2024-06-06T01:41:56Z"
"spotify:track:2eQAOUcjGKoLrCHQkFekAI","Psycho","spotify:artist:1gpUtHqrKRAEy8w7ojs8l5","Kiri T","spotify:album:6zyVqxhbcRIa7nCyUobInO","CHILI T","spotify:artist:1gpUtHqrKRAEy8w7ojs8l5","Kiri T","2021-02-26","https://i.scdn.co/image/ab67616d0000b273ef967096fde0c06b4126eb24","1","1","171308","","false","0","HKF821900007","","2024-06-06T01:35:09Z"
"spotify:track:0B7Bmgk2EIogEnhLz6gqRI","10,000ft.","spotify:artist:1gpUtHqrKRAEy8w7ojs8l5","Kiri T","spotify:album:6zyVqxhbcRIa7nCyUobInO","CHILI T","spotify:artist:1gpUtHqrKRAEy8w7ojs8l5","Kiri T","2021-02-26","https://i.scdn.co/image/ab67616d0000b273ef967096fde0c06b4126eb24","1","9","221210","","false","0","HKF822100006","","2024-06-06T01:32:49Z"
"spotify:track:2oOemghuOplk25PORF4s39","至少做一件離譜的事","spotify:artist:1gpUtHqrKRAEy8w7ojs8l5","Kiri T","spotify:album:4ExqABTnuhxEXKYr0MI8L6","至少做一件離譜的事","spotify:artist:1gpUtHqrKRAEy8w7ojs8l5","Kiri T","2024-03-19","https://i.scdn.co/image/ab67616d0000b2739073dcf72ae006c229a0d7e7","1","1","232839","https://p.scdn.co/mp3-preview/5d67025dff25abc7ae1071522e570328dbc76640?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","HKI492463201","","2024-06-06T01:32:42Z"
